structure,structure_id,action,freq,ref_area,value,unit_measure,time_period,obs_value,unit_mult,breaks,coverage,title_ts,obs_status,obs_conf,obs_pre_break
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1976-Q1,-10.0465,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1976-Q2,-4.8136,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1976-Q3,-4.1456,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1976-Q4,-4.2324,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1977-Q1,-7.4621,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1977-Q2,-8.9742,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1977-Q3,-7.7491,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1977-Q4,-3.3426,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1978-Q1,1.4342,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1978-Q2,6.3121,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1978-Q3,10.4078,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1978-Q4,14.4513,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1979-Q1,17.0148,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1979-Q2,19.635,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1979-Q3,15.6698,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1979-Q4,12.9377,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1980-Q1,11.4658,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1980-Q2,4.6423,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1980-Q3,5.0808,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1980-Q4,0.1949,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1981-Q1,-3.5371,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1981-Q2,-3.8503,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1981-Q3,-5.9362,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1981-Q4,-8.2112,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1982-Q1,-9.2223,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1982-Q2,-6.6206,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1982-Q3,-4.655,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1982-Q4,-0.8312,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1983-Q1,5.2215,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1983-Q2,6.129,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
